embedding_dimension,coefficient,intercept
0,-0.937190299419665,-8.48872798841978
1,0.933863997415839,-8.48872798841978
2,0.04830552617503375,-8.48872798841978
3,-0.35651040615880025,-8.48872798841978
4,0.08722097252692122,-8.48872798841978
5,0.8730775749584524,-8.48872798841978
6,0.4090079458130483,-8.48872798841978
7,-0.49405095199966165,-8.48872798841978
8,1.1704402248421744,-8.48872798841978
9,-0.5578645981039557,-8.48872798841978
10,1.701828743852871,-8.48872798841978
11,-1.4917665665716502,-8.48872798841978
12,1.640205573634061,-8.48872798841978
13,-0.3197357254138248,-8.48872798841978
14,-0.16680101749635018,-8.48872798841978
15,-0.08839183395261266,-8.48872798841978
16,0.7690487831218813,-8.48872798841978
17,-0.7908554430416742,-8.48872798841978
18,1.467854161381435,-8.48872798841978
19,0.9245888817853907,-8.48872798841978
20,1.9091108593315669,-8.48872798841978
21,-0.16003216773031603,-8.48872798841978
22,-1.4978926322537072,-8.48872798841978
23,0.4392916010270919,-8.48872798841978
24,-2.6390490644690296,-8.48872798841978
25,-0.049331325315933025,-8.48872798841978
26,1.2632373773349557,-8.48872798841978
27,-2.2796123511706936,-8.48872798841978
28,-1.7839034592531666,-8.48872798841978
29,0.6690023967720627,-8.48872798841978
30,0.9281560374460909,-8.48872798841978
31,-0.9982810020290125,-8.48872798841978
32,0.7055754301934408,-8.48872798841978
33,-0.01360258563786702,-8.48872798841978
34,-0.0687201570920112,-8.48872798841978
35,-1.8649652686719653,-8.48872798841978
36,0.04013910350910307,-8.48872798841978
37,-0.02914508612423232,-8.48872798841978
38,-1.457301525625011,-8.48872798841978
39,0.6483756476294392,-8.48872798841978
40,-1.7614542486401623,-8.48872798841978
41,-0.16602701122975913,-8.48872798841978
42,-0.06642854908121273,-8.48872798841978
43,0.9144582173645724,-8.48872798841978
44,-0.5242535741909159,-8.48872798841978
45,0.0490329400403226,-8.48872798841978
46,0.25313499801973555,-8.48872798841978
47,-0.9992210906968328,-8.48872798841978
48,2.235651691208578,-8.48872798841978
49,1.658533105079564,-8.48872798841978
50,1.212780500950264,-8.48872798841978
51,-1.2466109280669313,-8.48872798841978
52,-0.5089713830009327,-8.48872798841978
53,1.2108130106889206,-8.48872798841978
54,0.18505431652571583,-8.48872798841978
55,-0.302978606781774,-8.48872798841978
56,1.2468476192003455,-8.48872798841978
57,0.23968228143509251,-8.48872798841978
58,0.2991116736611227,-8.48872798841978
59,0.3180843629799594,-8.48872798841978
60,1.3161228704585277,-8.48872798841978
61,0.0371157470009483,-8.48872798841978
62,0.06276413820948665,-8.48872798841978
63,1.168541965841841,-8.48872798841978
64,-1.323444213040473,-8.48872798841978
65,0.5236739921822625,-8.48872798841978
66,-0.27087011691999097,-8.48872798841978
67,-0.7784409759630394,-8.48872798841978
68,2.0398428719023207,-8.48872798841978
69,-0.6475100842677112,-8.48872798841978
70,0.9538741271653466,-8.48872798841978
71,1.2263589066915064,-8.48872798841978
72,-1.1428912260679185,-8.48872798841978
73,-0.5247131689907942,-8.48872798841978
74,-0.810412649765831,-8.48872798841978
75,1.927208188471167,-8.48872798841978
76,-0.8290103867211585,-8.48872798841978
77,-0.27615479900720685,-8.48872798841978
78,1.880614175426292,-8.48872798841978
79,1.841144259671859,-8.48872798841978
80,1.9415303177879,-8.48872798841978
81,-0.18559983320992535,-8.48872798841978
82,0.10632005960784564,-8.48872798841978
83,-1.1814672117056972,-8.48872798841978
84,-0.037258560862538016,-8.48872798841978
85,-3.479102793010426,-8.48872798841978
86,-1.1565317494225238,-8.48872798841978
87,-1.7986126294858804,-8.48872798841978
88,-1.3091170975451705,-8.48872798841978
89,-0.16690173400629213,-8.48872798841978
90,0.795128503562978,-8.48872798841978
91,0.07436671568809025,-8.48872798841978
92,1.8289466218930974,-8.48872798841978
93,-0.6509990107131037,-8.48872798841978
94,1.5037814265760185,-8.48872798841978
95,2.8731690630652618,-8.48872798841978
96,2.568218143143241,-8.48872798841978
97,-1.7532762727794462,-8.48872798841978
98,1.4367355195646647,-8.48872798841978
99,1.484006498748431,-8.48872798841978
100,-0.42572195205881214,-8.48872798841978
101,-1.5750682169200532,-8.48872798841978
102,1.7630556688366772,-8.48872798841978
103,-0.7059694395961035,-8.48872798841978
104,2.406099516188759,-8.48872798841978
105,0.3607628994700788,-8.48872798841978
106,0.7413418259804123,-8.48872798841978
107,0.9254324679119489,-8.48872798841978
108,0.10802991946067768,-8.48872798841978
109,-0.2735037857945224,-8.48872798841978
110,-3.1036195715800465,-8.48872798841978
111,0.4754190232253525,-8.48872798841978
112,0.5133580916459489,-8.48872798841978
113,1.3804598727930661,-8.48872798841978
114,-0.9131545611520229,-8.48872798841978
115,0.39061142973733104,-8.48872798841978
116,-0.9261513573992672,-8.48872798841978
117,-0.3016094658110014,-8.48872798841978
118,-0.7040967953635717,-8.48872798841978
119,-0.020170418383202403,-8.48872798841978
120,-0.8795480426292506,-8.48872798841978
121,0.03737283126763431,-8.48872798841978
122,-0.24612349397052857,-8.48872798841978
123,-0.49728553189042435,-8.48872798841978
124,0.56607855975319,-8.48872798841978
125,0.6296563220753827,-8.48872798841978
126,0.5648964484656446,-8.48872798841978
127,-2.890250912627362,-8.48872798841978
128,-0.898689167725308,-8.48872798841978
129,-1.4273953482373434,-8.48872798841978
130,1.5679477067194207,-8.48872798841978
131,0.34552376239013,-8.48872798841978
132,0.11905605720665147,-8.48872798841978
133,-0.2300928337212446,-8.48872798841978
134,0.15701081857609295,-8.48872798841978
135,-0.4082950669806254,-8.48872798841978
136,0.6421661098156662,-8.48872798841978
137,0.17479450201059987,-8.48872798841978
138,0.32463920518610323,-8.48872798841978
139,1.2549672670187428,-8.48872798841978
140,0.12027682517219714,-8.48872798841978
141,-0.6948352701289203,-8.48872798841978
142,-0.013667234728151876,-8.48872798841978
143,0.34533120399507744,-8.48872798841978
144,-0.988459142403931,-8.48872798841978
145,0.5104044762550325,-8.48872798841978
146,-0.6983850754060353,-8.48872798841978
147,0.45333931640238717,-8.48872798841978
148,0.22235135181938637,-8.48872798841978
149,1.5661165048747612,-8.48872798841978
150,0.8265931138763364,-8.48872798841978
151,-0.7426399784819752,-8.48872798841978
152,1.4371855918865184,-8.48872798841978
153,-0.20230957585677906,-8.48872798841978
154,0.20089579200053997,-8.48872798841978
155,-0.4439294549305156,-8.48872798841978
156,0.6166931441988299,-8.48872798841978
157,-0.41128638824702246,-8.48872798841978
158,0.6551141399762219,-8.48872798841978
159,0.2997299344242794,-8.48872798841978
160,0.4176923734752618,-8.48872798841978
161,1.1573498643845896,-8.48872798841978
162,-0.7687357132779252,-8.48872798841978
163,-2.070803278690097,-8.48872798841978
164,-1.0277084255275646,-8.48872798841978
165,-1.2547948162987475,-8.48872798841978
166,0.10537375722714476,-8.48872798841978
167,0.8919257864855575,-8.48872798841978
168,1.3949743523535776,-8.48872798841978
169,2.491076608386224,-8.48872798841978
170,0.6445993518384128,-8.48872798841978
171,-0.00166931818307553,-8.48872798841978
172,-0.6857865646387636,-8.48872798841978
173,-0.378195663384268,-8.48872798841978
174,-0.2803192330429414,-8.48872798841978
175,0.7118074175234221,-8.48872798841978
176,0.861047451638656,-8.48872798841978
177,0.8797404853847475,-8.48872798841978
178,-1.2254780310888391,-8.48872798841978
179,0.06118839404437091,-8.48872798841978
180,0.5985929379158039,-8.48872798841978
181,-1.9789866246000005,-8.48872798841978
182,0.18088626565752208,-8.48872798841978
183,-0.8130299547186748,-8.48872798841978
184,1.2442772145046832,-8.48872798841978
185,-1.0666806573566006,-8.48872798841978
186,-0.06587654879400517,-8.48872798841978
