policy,retained_yes,total_yes,recall,recall_wilson_low,recall_wilson_high,false_negatives,retained_no,total_no,retained_no_workload,retained_no_wilson_low,retained_no_wilson_high,retained_total,total_records,retained_total_workload,recall_drift,recall_drift_bootstrap_low,recall_drift_bootstrap_high,workload_drift,workload_drift_bootstrap_low,workload_drift_bootstrap_high
"TF-IDF + LR, Rank 1",61,62,0.9838709677419356,0.9141327973931,0.9971471328313782,1,1147,7141,0.160621761658031,0.1522882907878776,0.1693201692548409,1208,7203,0.1677078994863251,0.0183537263626251,-0.0634037819799777,0.0344827586206896,-0.0163054815266593,-0.0301404732805904,-0.0031241999070688
"TF-IDF + LR, Rank 2",61,62,0.9838709677419356,0.9141327973931,0.9971471328313782,1,1120,7141,0.1568407786024366,0.1485911550248891,0.1654594046345628,1181,7203,0.1639594613355546,0.0183537263626251,-0.0634037819799777,0.0344827586206896,-0.0182810845497568,-0.0306414042989685,-0.0036090952522904
"TF-IDF + LR, Rank 3",61,62,0.9838709677419356,0.9141327973931,0.9971471328313782,1,1151,7141,0.1611819072958969,0.1528361579706737,0.1698919910177139,1212,7203,0.1682632236568096,0.0183537263626251,-0.078420467185762,0.0344827586206896,-0.0204393239732852,-0.0314085315368491,-0.0039478132160543
TF-IDF + linear SVM,61,62,0.9838709677419356,0.9141327973931,0.9971471328313782,1,1138,7141,0.1593614339728329,0.1510557240338856,0.1680334358810773,1199,7203,0.1664584201027349,0.0183537263626251,-0.0795328142380422,0.0344827586206896,-0.0197322652508536,-0.0314487329081441,-0.0044033531223985
TF-IDF + Naive Bayes,57,62,0.9193548387096774,0.8247142865138739,0.9650616530140071,5,1520,7141,0.2128553423890211,0.2035172667415164,0.222502187484848,1577,7203,0.2189365542135221,-0.046162402669633,-0.2085650723025583,0.0022246941045606,-0.0268991259265592,-0.0400773180987338,-0.0094314882042647
GTE 8192 + LR,61,62,0.9838709677419356,0.9141327973931,0.9971471328313782,1,1288,7141,0.1803668953928021,0.1716217095964898,0.1894557857810654,1349,7203,0.1872830764959044,0.0183537263626251,-0.032258064516129,0.0344827586206896,-0.0108228500486133,-0.0266471248583487,0.0022215244279092
GTE 512 + LR,61,62,0.9838709677419356,0.9141327973931,0.9971471328313782,1,1407,7141,0.197031228119311,0.1879697579012671,0.2064184836099445,1468,7203,0.2038039705678189,0.0183537263626251,-0.0311457174638486,0.0344827586206896,-0.0086015575820791,-0.0285636061729181,0.0041810032912221
MedCPT 512 + LR,62,62,1.0,0.9416559278986276,1.0,0,1334,7141,0.1868085702282593,0.1779379263746559,0.1960159918780942,1396,7203,0.1938081354990976,0.0344827586206896,-0.0623192436040044,0.0344827586206896,-0.0186436774698811,-0.0367156276663707,-0.0054585940855183
