policy,primary_recall,strict_recall,primary_false_negatives,strict_false_negatives,primary_retained_no_workload,strict_retained_no_workload,shared_records,shared_decisions_changed
"TF-IDF + logistic regression, Rank 1",0.9838709677419356,0.9838709677419356,1,1,0.160621761658031,0.1605407689057879,7163,4
"TF-IDF + logistic regression, Rank 2",0.9838709677419356,0.9838709677419356,1,1,0.1568407786024366,0.1574426137163779,7163,9
"TF-IDF + logistic regression, Rank 3",0.9838709677419356,0.9838709677419356,1,1,0.1611819072958969,0.1619490212646106,7163,8
TF-IDF + linear SVM,0.9838709677419356,0.9838709677419356,1,1,0.1593614339728329,0.1599774679622588,7163,7
TF-IDF + Naive Bayes,0.9193548387096774,0.9193548387096774,5,5,0.2128553423890211,0.2133502323616392,7163,8
GTE 8192 + logistic regression,0.9838709677419356,0.9838709677419356,1,1,0.1803668953928021,0.1816645542881284,7163,13
GTE 512 + logistic regression,0.9838709677419356,0.9838709677419356,1,1,0.197031228119311,0.1934938741022391,7163,22
MedCPT 512 + logistic regression,1.0,1.0,0,0,0.1868085702282593,0.1874383889593015,7163,8
