embedding_dimension,coefficient,intercept
0,0.33729814024032606,-5.773877545038156
1,-0.8154629524943816,-5.773877545038156
2,0.6030188013573474,-5.773877545038156
3,-0.8404477286052793,-5.773877545038156
4,-1.857951246487278,-5.773877545038156
5,-1.0152490214807937,-5.773877545038156
6,-0.9438135598463815,-5.773877545038156
7,0.8590602718844598,-5.773877545038156
8,-2.3877099607771997,-5.773877545038156
9,1.639939933080938,-5.773877545038156
10,-0.8315942201420576,-5.773877545038156
11,0.8732533266183689,-5.773877545038156
12,-0.6309922340367021,-5.773877545038156
13,0.24932912053856365,-5.773877545038156
14,-0.3010705528540229,-5.773877545038156
15,-1.394662339257744,-5.773877545038156
16,1.5578798587028735,-5.773877545038156
17,-0.6829654654430914,-5.773877545038156
18,-1.149590148128168,-5.773877545038156
19,0.2482303493869226,-5.773877545038156
20,0.05851888311066844,-5.773877545038156
21,-0.1390120870031075,-5.773877545038156
22,1.4487938897202437,-5.773877545038156
23,1.8401351321221484,-5.773877545038156
24,-0.6096269255788442,-5.773877545038156
25,-2.157361452354861,-5.773877545038156
26,1.4910339474658434,-5.773877545038156
27,-0.37913385903814223,-5.773877545038156
28,0.9550653991170299,-5.773877545038156
29,0.11960994473157309,-5.773877545038156
30,0.40847289140419296,-5.773877545038156
31,0.2580660195813281,-5.773877545038156
32,-0.37190136979655597,-5.773877545038156
33,-0.05174463971606406,-5.773877545038156
34,-0.5030607061328499,-5.773877545038156
35,-0.5662140299364499,-5.773877545038156
36,0.1133588198012677,-5.773877545038156
37,-1.2681248320934893,-5.773877545038156
38,-0.6192878310122747,-5.773877545038156
39,-1.1951588124517483,-5.773877545038156
40,0.9104549128833931,-5.773877545038156
41,1.0255123523957737,-5.773877545038156
42,-0.3400367925837852,-5.773877545038156
43,-0.5913696419408073,-5.773877545038156
44,0.13324090990509066,-5.773877545038156
45,-0.6902546008500247,-5.773877545038156
46,0.8987351090342698,-5.773877545038156
47,-2.092606200506917,-5.773877545038156
48,1.7436871690952733,-5.773877545038156
49,-1.467383489785435,-5.773877545038156
50,1.8343574239798737,-5.773877545038156
51,0.23908194672619432,-5.773877545038156
52,-0.23448250347904015,-5.773877545038156
53,0.6285354445166104,-5.773877545038156
54,0.5202799745556053,-5.773877545038156
55,0.8349028291548917,-5.773877545038156
56,-0.23734015454356366,-5.773877545038156
57,0.6113473826969154,-5.773877545038156
58,1.744133478523549,-5.773877545038156
59,0.2672317244848217,-5.773877545038156
60,-1.7992709480595777,-5.773877545038156
61,-1.6189753284526855,-5.773877545038156
62,0.6728042958675167,-5.773877545038156
63,-0.27130931696789584,-5.773877545038156
64,-1.400278487581649,-5.773877545038156
65,0.07137381158434707,-5.773877545038156
66,1.6649962943063814,-5.773877545038156
67,-1.0537277320170895,-5.773877545038156
68,1.5737484129925117,-5.773877545038156
69,-2.1424905939337884,-5.773877545038156
70,-2.0634724314621433,-5.773877545038156
71,0.8276209229812864,-5.773877545038156
72,-0.003274614026055787,-5.773877545038156
73,-0.23010757317846647,-5.773877545038156
74,-1.480810423269549,-5.773877545038156
75,-1.1630235088677283,-5.773877545038156
76,-1.1096090273964359,-5.773877545038156
77,-1.472712210469538,-5.773877545038156
78,1.3233072368517762,-5.773877545038156
79,-1.0257085227797311,-5.773877545038156
80,0.14859329483264133,-5.773877545038156
81,-2.025613751481434,-5.773877545038156
