embedding_dimension,coefficient,intercept
0,-0.895325567295492,-8.604091944982489
1,0.8132992724511053,-8.604091944982489
2,0.08415492288673615,-8.604091944982489
3,-0.32640292686243755,-8.604091944982489
4,0.10839986786343915,-8.604091944982489
5,0.8858298944675077,-8.604091944982489
6,0.38719134525277904,-8.604091944982489
7,-0.44597968812821986,-8.604091944982489
8,1.1592685230073354,-8.604091944982489
9,-0.5455239552805637,-8.604091944982489
10,1.6686742094001696,-8.604091944982489
11,-1.4851112011702736,-8.604091944982489
12,1.6518713848285842,-8.604091944982489
13,-0.31185786474200794,-8.604091944982489
14,-0.1680312880188536,-8.604091944982489
15,-0.11997998510351303,-8.604091944982489
16,0.7719471433883941,-8.604091944982489
17,-0.8530197916856022,-8.604091944982489
18,1.4581107384547234,-8.604091944982489
19,0.8729957105095617,-8.604091944982489
20,1.8587441791209576,-8.604091944982489
21,-0.15008947787041943,-8.604091944982489
22,-1.4498261631911145,-8.604091944982489
23,0.45204511196619557,-8.604091944982489
24,-2.6671893640357185,-8.604091944982489
25,0.022710819076566347,-8.604091944982489
26,1.2682126738789499,-8.604091944982489
27,-2.3068561181898515,-8.604091944982489
28,-1.8288643034101715,-8.604091944982489
29,0.7789445260188188,-8.604091944982489
30,1.0066671253359225,-8.604091944982489
31,-0.975650916710208,-8.604091944982489
32,0.6772251135201205,-8.604091944982489
33,0.025118701882122715,-8.604091944982489
34,-0.11227407061247696,-8.604091944982489
35,-1.8430136718526622,-8.604091944982489
36,0.0705175893197101,-8.604091944982489
37,-0.01154726470086225,-8.604091944982489
38,-1.4440448083389879,-8.604091944982489
39,0.6582089756194474,-8.604091944982489
40,-1.7776914033543556,-8.604091944982489
41,-0.10175516108586134,-8.604091944982489
42,-0.13209415099319727,-8.604091944982489
43,0.9316269934435906,-8.604091944982489
44,-0.5080713038013085,-8.604091944982489
45,0.09146145725503382,-8.604091944982489
46,0.3024718664907709,-8.604091944982489
47,-1.0279003975123908,-8.604091944982489
48,2.1890949794059944,-8.604091944982489
